STATE,churchesPerState
AK,846
AL,3494
AR,2644
AZ,4031
CA,29833
CO,4351
CT,2102
DC,756
DE,782
FL,18537
GA,9974
IA,2633
ID,1128
IL,9704
IN,6106
KS,3010
KY,3100
LA,3467
MA,3279
MD,5995
ME,701
MI,7492
MN,4576
MO,5658
MS,2067
MT,1074
NC,8233
ND,839
NE,1832
NH,624
NJ,6480
NM,1865
NV,1337
NY,16986
OH,9466
OK,4040
OR,3343
PA,9036
RI,589
SC,5909
SD,985
TN,4648
TX,21754
UT,782
VA,6814
VT,404
WA,5325
WI,4120
WV,1508
WY,481
